protocol_id,n_qubits,baseline,required,status,reason,max_qubits,estimated_statevector_bytes,estimated_dense_matrix_bytes,claim_boundary
s2_quantum_advantage_scaling_2026-05-06,4,classical_ode,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,4,dense_eigh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,14,256,4096,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,4,sparse_eigsh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,4,mps_tensor_network,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,4,gpu_dense_reference,False,ready_optional_gpu,CUDA-capable host can run this optional classical-validation row,13,256,4096,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,4,aer_statevector,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,4,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,256,4096,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,6,classical_ode,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,1024,65536,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,6,dense_eigh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,14,1024,65536,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,6,sparse_eigsh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,1024,65536,Sparse eigensolver timing is not equivalent to full dynamics.
