backend,batching_support,case_id,catalyst_comparison,claim_boundary,dependency_versions,device,dtype,failure_class,gradient_error,memory_peak_bytes,runtime_seconds,setup_instructions,source_of_truth,status,toolchain,transform_support,value_error
jax,vmap,bounded_phase_objective,,"Bounded CPU external comparison against the SCPN reference; no provider, QPU, GPU, or production performance claim.","{'jax': '0.10.2', 'jaxlib': '0.10.2'}",cpu,float64,,0.0,1891810,0.6017204359959578,,scpn_reference,success,,value_and_grad,0.0
pytorch,torch.func.vmap,bounded_phase_objective,,"Bounded CPU external comparison against the SCPN reference; no provider, QPU, GPU, or production performance claim.",{'torch': '2.12.1+cpu'},cpu,float64,,0.0,67852574,11.817028884994215,,scpn_reference,success,,torch.func.grad/jacrev,0.0
tensorflow,vectorized_map,bounded_phase_objective,,"Bounded CPU external comparison against the SCPN reference; no provider, QPU, GPU, or production performance claim.","{'tensorflow': '2.21.0', 'tensorflow-cpu': '2.21.0'}",cpu,float64,,0.0,424377,0.0711921180045465,,scpn_reference,success,,GradientTape,0.0
pennylane,not_native,bounded_phase_objective,,"Bounded CPU external comparison against the SCPN reference; no provider, QPU, GPU, or production performance claim.",{'pennylane': '0.45.1'},cpu,float64,,5.551115123125783e-17,256208,0.04323916300199926,,scpn_reference,success,,QNode,1.1102230246251565e-16
enzyme,not_evaluated,bounded_phase_objective,,Dependency hard gap only; no hidden success or promoted claim.,"{'llvm': 'not_installed', 'enzyme': '0.5.2', 'enzyme_ad': '0.0.6'}",cpu,float64,dependency_missing,,,,Install LLVM/Enzyme tooling and configure the Enzyme runner.,scpn_reference,hard_gap,,LLVM Enzyme,
catalyst,not_supported,bounded_phase_objective,"{'runner_status': 'success', 'compiled_quantum_classical_workflows': 'bounded: a configured Catalyst qjit/MLIR/QIR runner matched one CPU float64 phase objective value and gradient; this is not arbitrary workflow evidence.', 'compiled_differentiation': 'compiled differentiation is bounded to first-order value/gradient agreement for one CPU float64 phase objective; higher-order and arbitrary-program differentiation are not evaluated.', 'control_flow': 'control flow is not evaluated; loops, conditionals, dynamic circuits, and hybrid quantum-classical branching require separate Catalyst artefacts.', 'finite_shot_limitations': 'finite-shot limitations: no shot-noise gradients, sampler jobs, finite-shot provider executions, or statistical confidence intervals are evaluated.', 'provider_route_support': 'provider route support is unsupported; no cloud provider, QPU, hardware, or remote job submission occurs in this comparison row.', 'unsupported_provider_routes': ['finite_shot_provider_jobs', 'hardware_qpu_execution', 'cloud_provider_submission'], 'claim_boundary': 'Dedicated Catalyst compiler-workflow comparison only; not production, provider, finite-shot, arbitrary-workflow, higher-order-AD, or performance promotion evidence.', 'promotion_ready': False}","Bounded CPU Catalyst qjit/MLIR/QIR comparison against the SCPN reference; no provider, QPU, GPU, arbitrary-program AD, or production performance claim.","{'pennylane-catalyst': '0.15.0', 'catalyst': '0.15.0', 'mlir': 'not_installed', 'llvm': 'not_installed', 'catalyst_runner': 'executable:/mnt/data_sas/aaa_God_of_the_Math_Collection/03_CODE/SCPN-QUANTUM-CONTROL-ml350-baseline/data/differentiable_phase_qnode/ml350_full_framework_catalyst_baseline_20260705/runners/catalyst_qjit_runner.py'}",cpu,float64,,0.0,67569,4.659479039997677,,scpn_reference,success,"{'catalyst': 'pennylane-catalyst==0.15.0', 'mlir': 'Catalyst bundled CLI, mlir-opt-18 installed on host', 'workflow': 'qjit + catalyst.grad CPU float64'}",Catalyst qjit/MLIR/QIR runner,0.0
jax,single-host vmap only; multi-host pmap is not promotion evidence,bounded_phase_objective_unsupported_batching,,Unsupported-route hard gap only; no hidden success or promoted claim.,"{'jax': '0.10.2', 'jaxlib': '0.10.2'}",cpu,float64,unsupported_batching,,,,Bounded JAX external comparison evidence covers CPU value_and_grad/vmap only; multi-host pmap or sharded hardware batches require a separate isolated artefact.,scpn_reference,hard_gap,,value_and_grad,
pytorch,torch.func.vmap,bounded_phase_objective_unsupported_transform,,Unsupported-route hard gap only; no hidden success or promoted claim.,{'torch': '2.12.1+cpu'},cpu,float64,unsupported_transform,,,,"Bounded PyTorch external comparison evidence covers torch.func.grad, vmap, jacrev, compile, and module wrappers separately; nested compile grad-of-grad promotion requires a dedicated correctness and isolation artefact.",scpn_reference,hard_gap,,nested torch.compile grad-of-grad not evaluated,
tensorflow,vectorized_map,bounded_phase_objective_unsupported_dtype,,Unsupported-route hard gap only; no hidden success or promoted claim.,"{'tensorflow': '2.21.0', 'tensorflow-cpu': '2.21.0'}",cpu,complex128,unsupported_dtype,,,,External comparison promotion is real-valued float64 only. Complex or Wirtinger TensorFlow routes must use the explicit real/imaginary contract.,scpn_reference,hard_gap,,GradientTape,
pennylane,not_native,bounded_phase_objective_unsupported_device,,Unsupported-route hard gap only; no hidden success or promoted claim.,{'pennylane': '0.45.1'},hardware_qpu,float64,unsupported_device,,,,"External comparison rows do not submit live provider or QPU jobs. Hardware PennyLane evidence requires a provider policy ticket, artefact ID, shot budget, and isolated benchmark classification.",scpn_reference,hard_gap,,QNode,
